,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__gamma,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__min_child_weight,param_estimator__n_estimators,param_estimator__subsample,params
0,-718.4952738350098,-750.3709925725801,-712.2244977405596,-741.8540560269817,-744.536822240323,-733.4663862582444,15.191831563190089,1,-726.0004684881611,-721.6377636613158,-726.8934864658029,-721.3176357695557,-721.4893599772304,-723.4677428724132,2.4509672196532817,13.945225858688355,0.07507359339562966,0.1341240406036377,0.008653141023169726,2.2015538114709727,0.004498416873407935,3,2,87,0.7054546216959214,"{'estimator__gamma': 2.2015538114709727, 'estimator__learning_rate': 0.004498416873407935, 'estimator__max_depth': 3, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 87, 'estimator__subsample': 0.7054546216959214}"
1,-31.400022652360807,-24.288135954375456,-31.64102351779958,-28.63931310517177,-28.565698899719273,-28.911815240708684,2.653440119465264,1,-3.688969403668768,-4.065405156231265,-3.5380453260299958,-3.954324707242307,-3.7953686641799838,-3.808422651470464,0.18701379667740006,33.01112570762634,0.06683427944670729,0.2546541213989258,0.009362682167421293,3.226950715239293,0.03803652962220775,4,3,162,0.8867649402160509,"{'estimator__gamma': 3.226950715239293, 'estimator__learning_rate': 0.03803652962220775, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 162, 'estimator__subsample': 0.8867649402160509}"
2,-25.23335999108227,-17.810316820704948,-24.74801024753896,-23.285219000623993,-22.112462591310827,-22.643054341551263,2.65279104170668,1,-0.24090502181164958,-0.2746182502257392,-0.27075186965669046,-0.2572662465559435,-0.23414441205548214,-0.25553716006110094,0.01593934921531485,71.6492338180542,0.15326075461132835,0.5914618492126464,0.008466492124473592,0.7000967916664427,0.04409160224476225,6,4,264,0.7756393282172644,"{'estimator__gamma': 0.7000967916664427, 'estimator__learning_rate': 0.04409160224476225, 'estimator__max_depth': 6, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 264, 'estimator__subsample': 0.7756393282172644}"
3,-21.99401790064794,-17.008169192505253,-23.255259100400806,-21.12507244923711,-20.01375306385799,-20.681878619891332,2.119210072505272,1,-0.3128107172229029,-0.31380076597459305,-0.314486692547349,-0.3130317623556972,-0.31162297914496095,-0.3131505834491006,0.0009665533873357814,215.9119504928589,0.3494608092288625,0.7881499767303467,0.017839831961749927,4.01782378426542,0.047800531485066106,5,3,927,0.6546261581277683,"{'estimator__gamma': 4.01782378426542, 'estimator__learning_rate': 0.047800531485066106, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 927, 'estimator__subsample': 0.6546261581277683}"
4,-41.40037490031339,-33.83501884011142,-40.12996738494201,-38.31439754792612,-37.64328476249099,-38.2708677015543,2.5827817481094697,1,-13.06715911420863,-13.640726132885838,-12.802783439116048,-13.710164288251178,-13.25837536625852,-13.295841668144044,0.3427577509017991,33.17163395881653,0.2465503068349613,0.2474583625793457,0.005496380562136217,8.766965851331936,0.02036402463686951,4,4,169,0.7490634355630443,"{'estimator__gamma': 8.766965851331936, 'estimator__learning_rate': 0.02036402463686951, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 169, 'estimator__subsample': 0.7490634355630443}"
5,-24.82614685703939,-21.996833511697886,-27.678684439528364,-22.990073890149766,-22.157010045110614,-23.9315389644903,2.1252131646662336,1,-4.1103788694618695,-4.415803079704549,-4.066236954404885,-4.37712167677434,-4.067710842447327,-4.207450284558594,0.15562162093045503,57.8831045627594,0.07046481064571508,0.42595696449279785,0.01167962229607903,4.075605711843467,0.03539058655212477,3,4,367,0.6418885706999875,"{'estimator__gamma': 4.075605711843467, 'estimator__learning_rate': 0.03539058655212477, 'estimator__max_depth': 3, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 367, 'estimator__subsample': 0.6418885706999875}"
6,-21.068499778901014,-18.06610371706337,-23.93088835820262,-19.695483877839052,-19.37264383447218,-20.428004903047356,1.993676619134973,1,-1.7506701414364287,-1.8342201225847008,-1.708932424189655,-1.8593587243744554,-1.6548420785808213,-1.7616046982332123,0.07631649811262615,136.07798891067506,0.3522668797199374,1.1737331390380858,0.01910316487603996,0.21076069974344552,0.02485661618534506,3,3,911,0.5188368800924781,"{'estimator__gamma': 0.21076069974344552, 'estimator__learning_rate': 0.02485661618534506, 'estimator__max_depth': 3, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 911, 'estimator__subsample': 0.5188368800924781}"
7,-29.39705335784191,-22.24096424510442,-30.08014825948581,-27.630439249314335,-26.55132412684786,-27.184411132170208,2.7673403340793867,1,-1.2741832473952444,-1.3820307964490783,-1.186765122213993,-1.2793645524690636,-1.254774329573131,-1.275423609620102,0.06271982456635752,85.18469228744507,0.25355905428037384,0.5231016159057618,0.00832919417090376,7.284656804097237,0.03198544224396193,4,2,434,0.9797453136482898,"{'estimator__gamma': 7.284656804097237, 'estimator__learning_rate': 0.03198544224396193, 'estimator__max_depth': 4, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 434, 'estimator__subsample': 0.9797453136482898}"
8,-30.811998366508796,-27.181870487915216,-35.02034241528541,-27.782160721687564,-25.785220730204014,-29.31930393318684,3.2883218297187153,1,-8.728296292798074,-9.270980571474574,-8.64439457783678,-9.511795127429036,-9.090558331013002,-9.049204980110293,0.3261097987897728,97.77749404907226,0.19980666496332913,0.6874107837677002,0.022326433093559715,4.537130026614704,0.0225446224484365,2,2,807,0.6394424192048102,"{'estimator__gamma': 4.537130026614704, 'estimator__learning_rate': 0.0225446224484365, 'estimator__max_depth': 2, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 807, 'estimator__subsample': 0.6394424192048102}"
9,-24.382539181070815,-17.81674475308516,-24.967648333782044,-22.053145915656906,-21.101201292960173,-22.068883207258647,2.5597339029705624,1,-0.592247958883796,-0.6073911020270427,-0.5990578453118679,-0.5960921660601304,-0.5841045670502407,-0.5957787278666155,0.007673987864719239,134.54686813354493,0.2670959986473171,0.702998685836792,0.006339393704536279,5.83143999356338,0.04033598337558677,4,4,694,0.8086828643156018,"{'estimator__gamma': 5.83143999356338, 'estimator__learning_rate': 0.04033598337558677, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 694, 'estimator__subsample': 0.8086828643156018}"
10,-21.896765357034948,-17.111728758149194,-23.314517041257304,-21.13558639896345,-20.18895038363672,-20.731839439643107,2.0765676804796476,1,-0.3097869118786135,-0.3115680426487196,-0.3115942274826902,-0.31011180885442363,-0.30941544870591736,-0.3104952879140729,0.0009136056488937022,213.21189804077147,0.3139493982251572,0.7739578247070312,0.0244166724989195,3.9770865409870377,0.047845383354176325,5,3,927,0.6558320520622146,"{'estimator__gamma': 3.9770865409870377, 'estimator__learning_rate': 0.047845383354176325, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 927, 'estimator__subsample': 0.6558320520622146}"
11,-31.302315215962786,-24.414466641117578,-31.816721665982023,-28.708626320995727,-28.525708062633996,-28.95825570036961,2.6285633599704523,1,-3.6823345545776403,-4.080805190588891,-3.5318001787379023,-3.9445333669100235,-3.8034587492522416,-3.8085864080133396,0.1924375645849877,32.42885661125183,0.19309995332444918,0.2822383403778076,0.009726248381301752,3.227966845272047,0.03805058092433358,4,3,162,0.8879045917765716,"{'estimator__gamma': 3.227966845272047, 'estimator__learning_rate': 0.03805058092433358, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 162, 'estimator__subsample': 0.8879045917765716}"
12,-24.332471273452423,-17.845467774597143,-24.89522186027682,-22.02406702117342,-21.139258590514146,-22.051858529490712,2.5219695620031106,1,-0.5919200624882084,-0.6070070992727059,-0.5993382499308124,-0.5967879612688006,-0.5836423444205081,-0.5957391434762072,0.007770950274610522,134.15509452819825,0.3861835468433985,0.7093948364257813,0.017499133522659326,5.829096976005012,0.0403172670603473,4,4,694,0.8086068783644045,"{'estimator__gamma': 5.829096976005012, 'estimator__learning_rate': 0.0403172670603473, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 694, 'estimator__subsample': 0.8086068783644045}"
13,-29.42260776947809,-22.242791004354753,-30.025755241504413,-27.574957547923336,-26.442348036685623,-27.146244646235726,2.763042070619126,1,-1.2734556056119342,-1.3849939378007285,-1.1816701617543501,-1.2765622177736151,-1.2455651672083503,-1.2724494180297956,0.0657994419091933,85.92655658721924,0.1356971211439735,0.5205024719238281,0.010918910779738323,7.231874621639994,0.03208107212390746,4,2,433,0.9793609648655672,"{'estimator__gamma': 7.231874621639994, 'estimator__learning_rate': 0.03208107212390746, 'estimator__max_depth': 4, 'estimator__min_child_weight': 2, 'estimator__n_estimators': 433, 'estimator__subsample': 0.9793609648655672}"
14,-23.912508723096412,-17.830703615795695,-24.449684951222203,-22.53649036226497,-21.49223520839054,-22.048053482634888,2.347646437977744,1,-0.6202340853434589,-0.6187866302182351,-0.6195081768370723,-0.6187208728465469,-0.6139091988786208,-0.6182317928247867,0.0022302553083193093,211.42691383361816,0.5201754877357113,0.6272423744201661,0.020143676384419378,9.00581811984559,0.04693902288512065,5,3,911,0.7185035532992731,"{'estimator__gamma': 9.00581811984559, 'estimator__learning_rate': 0.04693902288512065, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 911, 'estimator__subsample': 0.7185035532992731}"
15,-1409.890053229464,-1473.36456690464,-1410.5239274038613,-1448.5568645718515,-1450.8683491990853,-1438.5833656369655,24.790518664331156,1,-1445.212570962184,-1429.4659219157186,-1444.9673943302273,-1435.5663732104588,-1435.04980775455,-1438.0524136346276,6.132025604585253,2.526154947280884,0.03319867348897123,0.07036018371582031,0.006180372872920253,0.1,0.001,5,3,10,1.0,"{'estimator__gamma': 0.1, 'estimator__learning_rate': 0.001, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}"
16,-24.058584648924498,-18.15160952720337,-25.570414778882938,-22.191667253394336,-21.389150686332346,-22.27585084655224,2.522029219114282,1,-0.5801296877270049,-0.5938943916726466,-0.5760325471642829,-0.5773775145909766,-0.5584460230737128,-0.5771760328457247,0.01131714645553745,106.42934775352478,0.4728309569668747,0.6746141910552979,0.011959628386338458,4.814561628702452,0.0393829287737563,4,3,557,0.7813211801927119,"{'estimator__gamma': 4.814561628702452, 'estimator__learning_rate': 0.0393829287737563, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 557, 'estimator__subsample': 0.7813211801927119}"
17,-23.97522651952454,-18.077424426232266,-25.549561063654046,-22.201546272368006,-21.38755669998548,-22.241729989413088,2.529249030612011,1,-0.572180089708405,-0.5884595301691626,-0.5719511888421926,-0.5725578832279292,-0.5550309773651825,-0.5720359338625743,0.010575475922021963,107.55930128097535,0.19811233176980178,0.6636207580566407,0.007478681575874674,4.82861045948258,0.03947878383648207,4,3,563,0.7795152998907338,"{'estimator__gamma': 4.82861045948258, 'estimator__learning_rate': 0.03947878383648207, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 563, 'estimator__subsample': 0.7795152998907338}"
18,-23.582597622978806,-17.946542886190706,-24.897506910353595,-21.797582017989015,-21.0164056657528,-21.85158903782329,2.3747593127271447,1,-0.8170669246611557,-0.8294625285663811,-0.8062453137994839,-0.8207714380981967,-0.7907636608542716,-0.8128619731958979,0.013326179350365775,94.55093922615052,0.14716531917476036,0.5980581283569336,0.014965802944767228,7.255432803130317,0.039564662470174206,4,3,497,0.7318611755889611,"{'estimator__gamma': 7.255432803130317, 'estimator__learning_rate': 0.039564662470174206, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 497, 'estimator__subsample': 0.7318611755889611}"
19,-24.28552719839669,-18.324355058358442,-25.484632366432084,-22.437401342215832,-21.599574412762035,-22.430009111806196,2.4614461010964783,1,-0.6567357302374264,-0.672790182925739,-0.6503041596029681,-0.6514541782702905,-0.6355591369233852,-0.6533686775919618,0.011989730855448735,105.53965559005738,0.22761132343900545,0.6228440761566162,0.020756993256162887,5.854773509884457,0.039645097801940615,4,3,555,0.7933633066081354,"{'estimator__gamma': 5.854773509884457, 'estimator__learning_rate': 0.039645097801940615, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 555, 'estimator__subsample': 0.7933633066081354}"
20,-23.957076267024604,-18.148123776150257,-25.24190438710351,-22.204075083753246,-21.201568071882665,-22.15415535899891,2.4378677023619137,1,-0.5818523772309885,-0.5964210380143763,-0.5789243627406364,-0.5792332024037887,-0.5665673680081328,-0.5805996696795845,0.009523280406967252,109.7704348564148,0.20957976192133937,0.6694172382354736,0.009405406126013593,5.103237402331545,0.03972063278024258,4,3,573,0.7723058428356369,"{'estimator__gamma': 5.103237402331545, 'estimator__learning_rate': 0.03972063278024258, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 573, 'estimator__subsample': 0.7723058428356369}"
21,-24.081326292527663,-18.595217348336554,-24.979576192015184,-21.863822258809005,-21.059704987602544,-22.119852363715815,2.2638524569041847,1,-1.0991802557839367,-1.1745685259203336,-1.100855773039216,-1.1650295590230693,-1.073560942104422,-1.1226390111741957,0.03981736450449652,70.49509372711182,0.12041002357592605,0.48032498359680176,0.008952542625956126,5.617102295077617,0.03979800640169053,4,4,371,0.7447575179461521,"{'estimator__gamma': 5.617102295077617, 'estimator__learning_rate': 0.03979800640169053, 'estimator__max_depth': 4, 'estimator__min_child_weight': 4, 'estimator__n_estimators': 371, 'estimator__subsample': 0.7447575179461521}"
22,-23.75064859216337,-18.184060681447512,-25.158055217396157,-22.007884620210806,-21.159843821919395,-22.055488905999773,2.3775657440194293,1,-0.5985617167752146,-0.6111433437753224,-0.5939835894051726,-0.5984865389592908,-0.5797881177979591,-0.596392661342592,0.0100815301527103,106.45933012962341,0.36308071978351303,0.656824254989624,0.011064190651207588,5.160855372292126,0.03987816197584229,4,3,556,0.7673626066738202,"{'estimator__gamma': 5.160855372292126, 'estimator__learning_rate': 0.03987816197584229, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 556, 'estimator__subsample': 0.7673626066738202}"
23,-23.763074603992468,-18.065969035172245,-25.190627985349394,-21.88691676121527,-21.18988992305806,-22.02277625844858,2.4250312314093483,1,-0.5808529242885332,-0.5942766983821633,-0.5774121340731113,-0.5800469406626779,-0.566052183689193,-0.5797281762191357,0.009004698651475213,110.15001926422119,0.10342667816784906,0.6648199558258057,0.003058158179200103,5.18530486813933,0.039951942163919583,4,3,579,0.7647679821432217,"{'estimator__gamma': 5.18530486813933, 'estimator__learning_rate': 0.039951942163919583, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 579, 'estimator__subsample': 0.7647679821432217}"
24,-23.583230346914544,-18.142970165947276,-25.04718459278212,-21.906073172337013,-21.06955038052214,-21.953062068257932,2.345302284754087,1,-0.5752358512833323,-0.5905666490934085,-0.5745432166753935,-0.5724044705757134,-0.5617103180718371,-0.5748921011399369,0.009229074154592815,113.5700650691986,0.4689693589819318,0.671416187286377,0.01614510809457597,5.206175290835876,0.04003365010003473,4,3,588,0.7622222363313569,"{'estimator__gamma': 5.206175290835876, 'estimator__learning_rate': 0.04003365010003473, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 588, 'estimator__subsample': 0.7622222363313569}"
25,-23.599572175640464,-17.974360556248932,-25.038665202942997,-21.913478319191398,-21.015411717965446,-21.911673391965195,2.404307956885629,1,-0.5690241332105761,-0.5827617468447507,-0.5667966431020044,-0.5655911778921312,-0.5536498713306123,-0.5675647144760149,0.009286413041684625,116.14119400978089,0.15727746720828467,0.6700173854827881,0.007600365120123216,5.2301632972221865,0.04012484869130905,4,3,599,0.7591068920378389,"{'estimator__gamma': 5.2301632972221865, 'estimator__learning_rate': 0.04012484869130905, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 599, 'estimator__subsample': 0.7591068920378389}"
26,-23.604356774560284,-18.093371885440778,-24.880510961230794,-21.785099483880913,-20.979652576834734,-21.872062924090443,2.3285126205175413,1,-0.5632800397038846,-0.5732447806347639,-0.5620701764738313,-0.5589509704254759,-0.5491185759579684,-0.5613329086391848,0.007760040337311946,118.28197054862976,0.22714278662072954,0.7057964324951171,0.012441530095818897,5.26063968412154,0.04022535391531167,4,3,612,0.7553009181095893,"{'estimator__gamma': 5.26063968412154, 'estimator__learning_rate': 0.04022535391531167, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 612, 'estimator__subsample': 0.7553009181095893}"
27,-25.563405832929643,-18.47058105212917,-25.243992653214992,-23.980574504507544,-22.976272556055747,-23.251588953526227,2.5599740503902386,1,-0.37972820627703063,-0.3814327879867077,-0.38285939958151843,-0.3818678886110145,-0.3763187787378758,-0.3804414122388294,0.002296479620219541,176.69996933937074,0.3709761916387963,0.6386350631713867,0.017066352222313005,5.248529844714829,0.04034506928921415,6,3,650,0.7684565333443025,"{'estimator__gamma': 5.248529844714829, 'estimator__learning_rate': 0.04034506928921415, 'estimator__max_depth': 6, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 650, 'estimator__subsample': 0.7684565333443025}"
28,-21.454916001906966,-16.963097221529356,-23.09626088571957,-20.113240098987628,-19.28702306283145,-20.185446393411986,2.0617426713041085,1,-0.30421489158017234,-0.31480516578461565,-0.3057831605373039,-0.30642725151137634,-0.2958884375666036,-0.30542378139601434,0.006025457247682353,132.89261651039124,0.2884194198069922,0.8439177989959716,0.017603536028000355,2.437323740635886,0.04048884682819486,4,3,694,0.6632805791752752,"{'estimator__gamma': 2.437323740635886, 'estimator__learning_rate': 0.04048884682819486, 'estimator__max_depth': 4, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 694, 'estimator__subsample': 0.6632805791752752}"
29,-24.32958761987897,-18.150171893739923,-25.051361802758816,-22.989686253710506,-21.75034371321174,-22.457973484929887,2.43084982812145,1,-0.24379543540003,-0.24747577763710663,-0.24634887410435233,-0.24429052641753074,-0.23999516415618466,-0.24438115554304085,0.0025704787262883872,114.50193247795104,0.38782948017781177,0.7005995750427246,0.02252552446400507,2.31225881852118,0.04067962287251827,5,3,488,0.7625959518351573,"{'estimator__gamma': 2.31225881852118, 'estimator__learning_rate': 0.04067962287251827, 'estimator__max_depth': 5, 'estimator__min_child_weight': 3, 'estimator__n_estimators': 488, 'estimator__subsample': 0.7625959518351573}"
